season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346
1,12,0,0,0,1,0.245833,0.259471,0.515417,0.133083
1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0772304
1,12,1,2,0,2,0.291304,0.294465,0.734783,0.168726
1,12,0,3,1,3,0.243333,0.220333,0.823333,0.316546
1,12,0,4,1,2,0.254167,0.226642,0.652917,0.350133
1,12,0,5,1,2,0.253333,0.255046,0.59,0.155471
1,12,0,6,0,2,0.253333,0.2424,0.752917,0.124383
1,12,0,0,0,1,0.255833,0.2317,0.483333,0.350754
1,12,0,1,1,2,0.215833,0.223487,0.5775,0.154846
